title,url
Dec-16,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Dec_2019_UFR.pdf?v=1724657875
Jun-16,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/June_2019_UFR_8a7b29de-5d6b-4bff-9039-70005b6511f4.pdf?v=1724666645
Mar-17,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/March_2020_AFR_209e2f6a-477b-4299-8a6c-d1197fb036b3.pdf?v=1724666646
Sep-16,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Sept_2019_UFR_a2753cf7-d8d9-4691-aed5-08673c3407a7.pdf?v=1724666646
Dec-17,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Dec_2020_UFR.pdf?v=1724666791
Jun-20,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/June_2020_UFR.pdf?v=1724666794
Mar-21,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/March_2021_AFR.pdf?v=1724666795
Dec-21,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Dec_2021_36dd7011-df05-4374-bbab-1b5b6a87b025.pdf?v=1724841474
Jun-21,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/June_2021_7a0a5a9b-6c6c-4063-b610-fdcd141e4539.pdf?v=1724841475
Mar-22,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/March_2022_6550a43e-2670-44b2-9127-992eb7ba864b.pdf?v=1724841475
Sep-21,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Sept_2021_90fc73b8-edb9-451b-b4c1-94c5b0cc2a82.pdf?v=1724841475
Dec-22,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Dec_2022_UFR.pdf?v=1724841827
Jun-22,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/June_2022_UFR.pdf?v=1724841830
Mar-23,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/March_2023_AFR.pdf?v=1724841828
Sep-22,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Sept_2022_UFR.pdf?v=1724841828
Dec-23,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Dec_2023_UFR.pdf?v=1724841929
Jun-23,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/June_2023_UFR.pdf?v=1724841928
Sep-23,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Sept_2023_UFR.pdf?v=1724841929
Postal ballot_02.04.2024,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Postal_ballot_02.04.2024.pdf?v=1724841931
March 2024_AFR,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/March_2024_AFR.pdf?v=1724841928
Postal_Ballot_Notice-23.07.2024,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Postal_Ballot_Notice-23.07.2024.pdf?v=1726816220
